CBR,MSA,Layer,Unreinforced_Thickness,Reinforced_Thickness,Thickness_Reduction_%,Unreinforced_Cost,Reinforced_Cost,Cost_Reduction_%,New_Design_Life,Design_Life_Increase_%
5,5,BC,30,20,33.33,1995000,1330000,33.33,6,20
5,5,DBM,65,30,53.85,3981250,1837500,53.85,6,20
5,5,WMM,250,220,12,3237500,2849000,12,6,20
5,5,GSB,150,150,0,1863750,1863750,0,6,20
5,5,TOTAL,495,420,15.15,11077500,8580250,22.54,6,20
5,10,BC,40,20,50,2660000,1330000,50,11.24,12.4
5,10,DBM,80,30,62.5,4900000,1837500,62.5,11.24,12.4
5,10,WMM,250,200,20,3237500,2590000,20,11.24,12.4
5,10,GSB,200,200,0,2485000,2485000,0,11.24,12.4
5,10,TOTAL,570,450,21.05,13282500,8942500,32.67,11.24,12.4
5,20,BC,40,20,50,2660000,1330000,50,23.4,17
5,20,DBM,105,50,52.38,6431250,3062500,52.38,23.4,17
5,20,WMM,250,210,16,3237500,2719500,16,23.4,17
5,20,GSB,200,200,0,2485000,2485000,0,23.4,17
5,20,TOTAL,595,480,19.33,14813750,10297000,30.49,23.4,17
5,30,BC,40,20,50,2660000,1330000,50,32.51,8.3667
5,30,DBM,115,55,52.17,7043750,3368750,52.17,32.51,8.3667
5,30,WMM,250,220,12,3237500,2849000,12,32.51,8.3667
5,30,GSB,200,200,0,2485000,2485000,0,32.51,8.3667
5,30,TOTAL,605,495,18.18,15426250,10732750,30.43,32.51,8.3667
5,50,BC,40,30,25,2660000,1995000,25,54,8
5,50,DBM,140,65,53.57,8575000,3981250,53.57,54,8
5,50,WMM,250,220,12,3237500,2849000,12,54,8
5,50,GSB,200,200,0,2485000,2485000,0,54,8
5,50,TOTAL,630,515,18.25,16957500,12010250,29.17,54,8
8,5,BC,30,10,66.67,1995000,665000,66.67,5.8,16
8,5,DBM,50,30,40,3062500,1837500,40,5.8,16
8,5,WMM,250,180,28,3237500,2331000,28,5.8,16
8,5,GSB,150,150,0,1863750,1863750,0,5.8,16
8,5,TOTAL,480,370,23,10158750,7397250,27.18,5.8,16
8,10,BC,30,10,66.67,1995000,665000,66.67,11.2,12
8,10,DBM,60,30,50,3675000,1837500,50,11.2,12
8,10,WMM,250,160,36,3237500,2072000,36,11.2,12
8,10,GSB,200,200,0,2485000,2485000,0,11.2,12
8,10,TOTAL,540,400,26,11392500,7759500,31.89,11.2,12
8,20,BC,30,10,66.67,1995000,665000,66.67,22.5,12.5
8,20,DBM,90,30,66.67,5512500,1837500,66.67,22.5,12.5
8,20,WMM,250,190,24,3237500,2460500,24,22.5,12.5
8,20,GSB,200,200,0,2485000,2485000,0,22.5,12.5
8,20,TOTAL,570,430,24.56,13230000,8148000,38.41,22.5,12.5
8,30,BC,40,20,50,2660000,1330000,50,37,23.33
8,30,DBM,95,30,68.42,5818750,1837500,68.42,37,23.33
8,30,WMM,250,200,20,3237500,2590000,20,37,23.33
8,30,GSB,200,200,0,2485000,2485000,0,37,23.33
8,30,TOTAL,585,450,23.08,14201250,8942500,37.03,37,23.33
8,50,BC,40,20,50,2660000,1330000,50,59,18
8,50,DBM,115,40,65.22,7043750,2450000,65.22,59,18
8,50,WMM,250,210,16,3237500,2719500,16,59,18
8,50,GSB,200,200,0,2485000,2485000,0,59,18
8,50,TOTAL,605,470,22.31,15426250,9684500,37.22,59,18
10,5,BC,30,10,66.67,1995000,665000,66.67,6.16,23.2
10,5,DBM,50,30,40,3062500,1837500,40,6.16,23.2
10,5,WMM,250,160,36,3237500,2072000,36,6.16,23.2
10,5,GSB,150,150,0,1863750,1863750,0,6.16,23.2
10,5,TOTAL,480,350,27.08,10158750,7138250,29.73,6.16,23.2
10,10,BC,30,10,66.67,1995000,665000,66.67,12.14,21.4
10,10,DBM,50,30,40,3062500,1837500,40,12.14,21.4
10,10,WMM,250,140,44,3237500,1813000,44,12.14,21.4
10,10,GSB,200,200,0,2485000,2485000,0,12.14,21.4
10,10,TOTAL,530,380,28.3,10780000,7500500,30.42,12.14,21.4
10,20,BC,40,10,75,2660000,665000,75,25.2,26
10,20,DBM,70,30,57.14,4287500,1837500,57.14,25.2,26
10,20,WMM,250,170,32,3237500,2201500,32,25.2,26
10,20,GSB,200,200,0,2485000,2485000,0,25.2,26
10,20,TOTAL,560,410,26.78,12670000,7889000,37.73,25.2,26
10,30,BC,40,10,75,2660000,665000,75,32,6.67
10,30,DBM,85,30,64.71,5206250,1837500,64.71,32,6.67
10,30,WMM,250,180,28,3237500,2331000,28,32,6.67
10,30,GSB,200,200,0,2485000,2485000,0,32,6.67
10,30,TOTAL,575,420,26.95,13588750,8018500,40.99,32,6.67
10,50,BC,40,10,75,2660000,665000,75,56.75,13.5
10,50,DBM,105,30,71.43,6431250,1837500,71.43,56.75,13.5
10,50,WMM,250,205,18,3237500,2654750,18,56.75,13.5
10,50,GSB,200,200,0,2485000,2485000,0,56.75,13.5
10,50,TOTAL,595,445,25.21,14813750,8342250,43.69,56.75,13.5
